BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C4:E9:84:29:04:D8, 2018-02-04 13:07:54, 2018-02-04 13:08:26,7,54, WPA2 WPA, CCMP,PSK,-88,5,0,   0.  0.  0.  0,6, Heaven, 
78:11:DC:18:75:4E, 2018-02-04 13:07:55, 2018-02-04 13:08:50,3,54, WPA2, CCMP TKIP,PSK,-90,19,0,   0.  0.  0.  0,0, , 
BE:2F:3D:1C:E8:38, 2018-02-04 13:07:53, 2018-02-04 13:08:16,6,54, WPA2, CCMP,PSK,-88,7,0,   0.  0.  0.  0,9, vivo 1601, 
00:1E:A6:33:46:60, 2018-02-04 13:08:12, 2018-02-04 13:08:16,1,54, WPA, CCMP,PSK,-89,3,0,   0.  0.  0.  0,11, iBall-Baton, 
EC:4A:5B:11:12:2E, 2018-02-04 13:08:02, 2018-02-04 13:08:02,6,-1, OPN, ,   ,-1,0,1,   0.  0.  0.  0,0, , 
00:1E:A6:95:08:E8, 2018-02-04 13:08:02, 2018-02-04 13:08:02,6,54, WPA, CCMP,PSK,-90,1,0,   0.  0.  0.  0,4, RKRS, 
00:1E:A6:6B:7E:9F, 2018-02-04 13:07:52, 2018-02-04 13:07:52,11,54, WPA, CCMP,PSK,-89,2,0,   0.  0.  0.  0,11, iBall-Baton, 
C8:3A:35:46:AB:F0, 2018-02-04 13:07:50, 2018-02-04 13:07:50,2,54, WPA, CCMP,PSK,-90,1,0,   0.  0.  0.  0,12, Tenda_46ABF0, 
78:11:DC:34:DA:F0, 2018-02-04 13:07:53, 2018-02-04 13:08:07,1,54, WPA2, CCMP TKIP,PSK,-92,2,0,   0.  0.  0.  0,0, , 
C8:3A:35:54:23:40, 2018-02-04 13:08:07, 2018-02-04 13:08:07,1,54, WPA, CCMP,PSK,-92,1,0,   0.  0.  0.  0,12, Tenda_542340, 
00:1E:A6:AE:13:BE, 2018-02-04 13:07:54, 2018-02-04 13:08:21,7,54, WPA2 WPA, CCMP TKIP,PSK,-90,5,0,   0.  0.  0.  0,4, Yash, 
00:1E:A6:15:F6:9E, 2018-02-04 13:07:57, 2018-02-04 13:08:43,6,54, WPA2 WPA, CCMP,PSK,-91,6,0,   0.  0.  0.  0,11, iBall-Baton, 
00:1E:A6:AF:D4:94, 2018-02-04 13:07:49, 2018-02-04 13:08:48,1,54, WPA2, CCMP TKIP,PSK,-90,7,0,   0.  0.  0.  0,31, iBall-Baton_EXT_EXT_EXT_EXT_EXT, 
00:1E:A6:A6:32:50, 2018-02-04 13:07:56, 2018-02-04 13:08:50,4,54, WPA, CCMP,PSK,-89,10,0,   0.  0.  0.  0,8, Darryl01, 
10:62:EB:1F:B9:1D, 2018-02-04 13:08:30, 2018-02-04 13:08:30,1,54, WPA2, CCMP,PSK,-90,1,0,   0.  0.  0.  0,7, Hola :D, 
DC:1A:C5:69:B7:DF, 2018-02-04 13:07:53, 2018-02-04 13:08:43,6,54, WPA2, CCMP,PSK,-89,9,2,   0.  0.  0.  0,6, Aarohi, 
00:1E:A6:4F:AA:28, 2018-02-04 13:08:26, 2018-02-04 13:08:30,7,54, WPA2 WPA, CCMP TKIP,PSK,-89,3,0,   0.  0.  0.  0,11, iBall-Baton, 
00:1E:A6:67:C4:E8, 2018-02-04 13:08:32, 2018-02-04 13:08:32,9,54, WPA, CCMP,PSK,-89,1,0,   0.  0.  0.  0,11, iBall-Baton, 
